trail	original
14.804	41.669
517.078	493.102
3722.452	2912.13
4109.684	542.334
1860.796	2397.474
376.981	520.322
518.016	640.117
3671.984	4084.599
219.21	13.925
41.015	332.734
51.389	292.629
2823.876	861.109
1110.738	3076.233
582.948	57.519
1028.591	3863.37
2518.578	967.275
3067.553	939.774
200.545	359.666
13.111	245.504
2175.837	3906.67
577.978	436.986
14.754	11.835
2421.027	2641.805
1485.745	1975.519
1386.875	1600.271
72.155	68.967
1742.258	1717.954
85.575	314.121
529.47	423.784
2728.064	2875.048
4027.925	4219.983
1.451	1.564
56.118	71.1
1179.783	1180.029
1121.524	1146.775
120.194	3.379
1099.262	1036.461
2036.229	2473.004
1064.094	1189.841
2394.006	806.826
387.02	3043.096
102.303	108.58
1846.917	1791.338
3693.531	4149.362
3765.316	4285.475
299.965	337.661
343.129	129.785
790.013	664.521
34.292	28.988
212.557	305.807
80.057	85.171
1099.462	1084.396
1590.77	1631.039
1409.524	1478.695
166.173	38.961
2246.264	493.092
458.851	273.359
1451.644	1533.344
3949.563	3567.441
651.862	558.665
977.792	989.808
2112.12	1824.733
218.101	240.737
520.415	1689.01
440.567	413.575
1392.926	1743.847
967.822	22.206
343.786	37.786
1030.222	1166.754
48.02	49.756
853.061	2423.831
3678.712	3235.184
567.291	528.773
2162.639	2017.724
390.813	318.714
2273.336	2027.052
483.14	518.682
166.429	147.842
158.993	160.592
20.297	158.246
48.085	42.331
334.896	291.427
1119.842	1174.612
149.317	195.087
3078.602	2697.261
74.011	100.886
1648.83	1618.037
1878.922	1887.054
814.171	830.123
305.228	393.709
816.798	2754.465
1774.319	1872.936
1447.5	1328.15
1756.935	693.055
148.09	2580.532
242.923	248.896
30.741	32.702
473.945	516.577
664.528	733.186
203.034	211.385
3276.175	733.687
337.219	347.009
215.588	156.948
495.267	378.705
1675.993	1669.836
1147.483	1613.346
352.337	348.212
36.646	8.9
130.609	169.943
494.007	533.715
1262.204	1234.888
3302.676	372.999
2376.202	2441.716
1876.004	1812.804
696.225	568.236
1166.97	1104.87
72.916	74.554
34.594	558.829
1587.319	1235.862
2611.571	2884.508
111.635	95.887
100.49	105.887
79.096	483.27
451.186	534.309
1062.483	1386.839
1144.654	1546.74
69.16	1438.348
333.102	639.82
11.652	13.63
407.362	2633.701
582.274	542.24
99.584	152.445
1861.549	867.509
4462.247	2303.999
3078.303	3532.304
