original_time,index
2.645,5
4.701,10
13.638,15
18.075,20
23.711,25
31.920,30
35.087,35
40.250,40
44.672,45
48.782,50
51.150,55
55.984,60
64.186,65
68.866,70
81.509,75
90.520,80
105.382,85
113.176,90
120.526,95
126.726,100
138.764,105
141.863,110
148.514,115
163.040,120
173.236,125
183.021,130
191.306,135
195.516,140
203.933,145
214.536,150
230.669,155
242.495,160
251.599,165
267.311,170
274.241,175
282.498,180
290.197,185
304.773,190
313.722,195
325.204,200
337.738,205
346.950,210
359.096,215
377.115,220
385.882,225
408.608,230
426.549,235
437.444,240
451.750,245
458.011,250
468.385,255
478.428,260
490.533,265
493.603,270
502.720,275
525.915,280
562.473,285
592.175,290
607.910,295
634.446,300
682.204,310
703.538,315
730.942,320
757.822,325
775.060,330
805.897,335
867.463,340
922.310,345
959.324,350
965.955,355
990.345,360
1016.393,365
1069.974,370
1115.139,375
1176.316,380
1255.077,385
1289.045,390
1413.400,395
1515.836,400
1605.588,405
1773.624,410
1926.359,415
2151.351,420
2198.352,425
2264.557,430
2314.831,435
2547.976,440
2820.327,445
3213.782,450
3327.693,455
3613.098,460
3971.641,465
4359.449,470
4900.981,475
